timestamp,source,book,sport,game_id,gamecode,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,spread_sharp_side,total_sharp_side,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260914_denver_broncos_kansas_city_chiefs,20260914NFL00044,Sep 14,,Denver Broncos,Kansas City Chiefs,2.5,65.0,35.0,53.0,47.0,43.5,50.0,50.0,51.0,49.0,54.0,46.0,59.0,41.0,12.0,1.0,False,False,home,over,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260917_detroit_lions_buffalo_bills,20260917NFL00031,Sep 14,,Detroit Lions,Buffalo Bills,4.5,36.0,64.0,12.0,88.0,53.5,76.0,24.0,77.0,23.0,16.0,84.0,3.0,97.0,24.0,1.0,True,False,home,over,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_pittsburgh_steelers_new_england_patriots,20260920NFL00033,Sep 14,,Pittsburgh Steelers,New England Patriots,5.5,57.0,43.0,19.0,81.0,41.5,33.0,67.0,17.0,83.0,27.0,73.0,37.0,63.0,38.0,16.0,True,True,home,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_green_bay_packers_new_york_jets,20260920NFL00034,Sep 14,,Green Bay Packers,New York Jets,-4.5,43.0,57.0,10.0,90.0,44.5,55.0,45.0,41.0,59.0,78.0,22.0,27.0,73.0,33.0,14.0,True,False,home,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_new_orleans_saints_baltimore_ravens,20260920NFL00035,Sep 14,,New Orleans Saints,Baltimore Ravens,8.5,47.0,53.0,25.0,75.0,47.5,78.0,22.0,39.0,61.0,5.0,95.0,1.0,99.0,22.0,39.0,True,True,home,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_cincinnati_bengals_houston_texans,20260920NFL00039,Sep 14,,Cincinnati Bengals,Houston Texans,3.0,59.0,41.0,13.0,87.0,46.5,86.0,14.0,65.0,35.0,42.0,58.0,17.0,83.0,46.0,21.0,True,True,home,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_philadelphia_eagles_tennessee_titans,20260920NFL00042,Sep 14,,Philadelphia Eagles,Tennessee Titans,-7.0,83.0,17.0,96.0,4.0,40.5,34.0,66.0,1.0,99.0,98.0,2.0,100.0,0.0,13.0,33.0,False,True,away,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_minnesota_vikings_chicago_bears,20260920NFL00051,Sep 14,,Minnesota Vikings,Chicago Bears,5.5,40.0,60.0,24.0,76.0,49.5,88.0,12.0,77.0,23.0,14.0,86.0,29.0,71.0,16.0,11.0,True,False,home,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_carolina_panthers_atlanta_falcons,20260920NFL00055,Sep 14,,Carolina Panthers,Atlanta Falcons,-1.5,83.0,17.0,94.0,6.0,44.5,68.0,32.0,67.0,33.0,80.0,20.0,88.0,12.0,11.0,1.0,False,False,away,under,1,,,,,,,,,,,,
2026-09-14T15:47:47.967085-04:00,vsin_dk,draftkings,nfl,nfl_20260920_cleveland_browns_tampa_bay_buccaneers,20260920NFL00058,Sep 14,,Cleveland Browns,Tampa Bay Buccaneers,8.5,21.0,79.0,10.0,90.0,40.5,58.0,42.0,57.0,43.0,4.0,96.0,2.0,98.0,11.0,1.0,False,False,home,under,1,,,,,,,,,,,,
