timestamp,source,book,sport,game_date,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_texas_am_vanderbilt,Feb 14,,Texas A&M,Vanderbilt,6.5,67.0,33.0,76.0,24.0,165.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_st_johns_providence,Feb 14,,ST Johns,Providence,-7.0,100.0,,100.0,,167.5,100.0,,100.0,,50.0,50.0,50.0,50.0,,0.0,,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_mercer_citadel,Feb 14,,Mercer,The Citadel,-9.0,50.0,50.0,3.0,97.0,147.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,0.0,True,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_furman_vmi,Feb 14,,Furman,VMI,-13.0,,100.0,,100.0,145.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_florida_st_virginia_tech,Feb 14,,Florida ST,Virginia Tech,6.5,,100.0,,100.0,157.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_east_carolina_rice,Feb 14,,East Carolina,Rice,5.0,50.0,50.0,50.0,50.0,145.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_elon_william_mary,Feb 14,,Elon,William & Mary,7.5,50.0,50.0,50.0,50.0,165.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_w_michigan_e_michigan,Feb 14,,W Michigan,E Michigan,7.0,100.0,,100.0,,145.5,,100.0,,100.0,50.0,50.0,50.0,50.0,,,,,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_pittsburgh_north_carolina,Feb 14,,Pittsburgh,North Carolina,11.0,50.0,50.0,50.0,50.0,144.5,100.0,,100.0,,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_kent_ball_st,Feb 14,,Kent,Ball ST,-8.0,,100.0,,100.0,143.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
